시도,시군구,행정동,행정동코드,인구,남,여,최근증감,면적_km2,인구_0~9,인구_10~19,인구_20~39,인구_40~59,인구_65+,인구_여20~49
서울,양천구,신월5동,1147060000,13608,6690,6918,18,0.636,562,1078,3501,4177,3184,2648
서울,양천구,신월6동,1147061000,13574,6627,6947,-33,0.471,1262,1319,3268,4416,2459,2870
서울,양천구,신월7동,1147061100,17819,8625,9194,-29,1.22,627,919,4194,5128,5292,3085
서울,양천구,신정1동,1147062000,19342,9406,9936,-42,0.736,1311,2980,3432,6947,3350,3853
서울,양천구,신정2동,1147063000,18612,9092,9520,14,0.645,1089,2832,3433,6679,3358,3610
서울,양천구,신정3동,1147064000,45089,21768,23321,-615,2.821,2365,4517,10325,14459,9133,8439
서울,양천구,신정4동,1147065000,31091,14960,16131,-11,0.991,847,1800,9502,9267,7451,6773
서울,양천구,신정6동,1147067000,23826,11523,12303,24,0.922,1645,3647,4522,8558,3789,4835
서울,양천구,신정7동,1147068000,27603,13175,14428,7,1.138,1480,3179,5272,9203,6339,5042
서울,강서구,염창동,1150051000,40993,19600,21393,-6,1.671,3079,4214,12407,13148,5826,10443
서울,강서구,등촌제1동,1150052000,24846,11406,13440,-41,0.656,1158,1079,10915,6633,3741,7957
서울,강서구,등촌제2동,1150053000,18886,9195,9691,-12,0.891,781,1294,5688,5493,4093,4172
서울,강서구,등촌제3동,1150053500,28460,13322,15138,-26,1.037,1350,1463,7431,7308,8456,5556
서울,강서구,화곡제1동,1150054000,49621,23939,25682,62,1.187,1526,2149,17802,13924,10702,12453
서울,강서구,화곡제2동,1150055000,16671,7991,8680,-42,0.455,622,1178,4686,5270,3577,3514
서울,강서구,화곡제3동,1150056000,20440,9708,10732,8,0.52,751,1539,5491,5960,5211,4397
서울,강서구,화곡제4동,1150057000,18975,9178,9797,-25,0.852,596,1149,4823,5987,4868,3659
서울,강서구,화곡본동,1150059000,31632,15320,16312,-28,0.977,1011,1977,10695,9449,6361,7668
서울,강서구,화곡제6동,1150059100,25262,12034,13228,-40,1.058,1311,1355,8670,7003,5135,6354
서울,강서구,화곡제8동,1150059300,22275,10717,11558,-11,0.573,649,1271,6570,6705,5480,4734
서울,강서구,가양제1동,1150060300,33337,14916,18421,15,4.861,1223,1479,16168,8387,4327,11878
서울,강서구,가양제2동,1150060400,12833,6040,6793,6,0.696,374,380,3147,2733,5059,2293
서울,강서구,가양제3동,1150060500,13315,6151,7164,-4,0.599,575,326,3857,3260,4236,2817
서울,강서구,발산제1동,1150061100,34552,16208,18344,11,2.944,1942,4450,7911,11706,6293,7053
서울,강서구,우장산동,1150061500,43623,20697,22926,-20,1.239,2614,5235,10635,14887,7632,9688
서울,강서구,공항동,1150062000,28549,14379,14170,39,10.88,2041,2645,8017,9131,5090,6262
서울,강서구,방화제1동,1150063000,40479,19656,20823,95,1.473,2586,4122,9463,12773,8660,8098
서울,강서구,방화제2동,1150064000,22537,11129,11408,-44,6.155,808,1182,6538,6100,6021,4554
서울,강서구,방화제3동,1150064100,21229,10143,11086,-44,2.542,884,1150,4972,6064,6426,3903
서울,구로구,신도림동,1153051000,35683,17127,18556,-14,1.37,2643,3609,9843,11632,5914,8525
서울,구로구,구로제1동,1153052000,20001,9768,10233,-26,1.078,1339,1792,5804,6252,3583,4586
