시도,시군구,지도_병원계,지도_CNP차앤박피부과,지도_CU클린업 피부과,지도_가정의학과,지도_국립병원,지도_내과,"지도_노인,요양병원",지도_대학병원,지도_보훈병원,지도_비뇨기과,지도_산부인과,지도_성장클리닉,지도_성형외과,지도_소아청소년과,지도_시도립병원,지도_신경과,지도_신경외과,지도_안과,지도_영상의학과,지도_외과,지도_이비인후과,지도_이지함피부과,지도_일반의원,지도_재활의학과,지도_정신건강의학과,지도_정형외과,지도_종합병원,지도_진단검사의학과,지도_치과,지도_통증클리닉,지도_피부과,지도_한방병원,지도_한의원,지도_항문외과,지도_흉부외과
광주,북구,507,0,0,17,0,48,11,0,0,7,12,0,1,9,0,6,5,8,0,7,20,0,36,11,9,21,6,0,147,15,21,19,69,2,0
광주,서구,479,1,0,11,0,33,3,0,0,12,12,0,34,8,0,3,4,13,2,7,16,0,21,3,15,14,5,1,127,7,41,12,73,0,1
대구,군위군,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,3,1,0,0,5,0,0
대구,남구,257,0,0,2,0,32,7,2,0,6,5,0,5,6,0,2,5,8,1,2,8,0,12,2,6,14,1,0,58,9,4,1,59,0,0
대구,달서구,853,0,0,11,0,84,11,0,0,15,24,0,6,26,0,9,10,25,3,10,43,0,53,7,20,47,7,0,217,13,29,8,172,2,1
대구,달성군,257,0,0,3,0,24,7,0,0,3,4,0,0,15,0,0,4,6,0,6,14,0,19,1,5,11,0,0,64,8,6,0,57,0,0
대구,동구,487,0,0,8,0,48,8,0,0,19,13,0,5,21,0,3,7,12,1,2,23,0,38,3,10,19,2,0,104,12,9,7,111,2,0
대구,북구,581,0,0,8,0,59,12,4,0,10,14,0,3,20,0,2,5,13,0,5,25,0,36,4,13,36,0,0,145,15,14,4,132,2,0
대구,서구,246,0,0,7,0,25,11,0,0,3,4,0,0,3,0,1,3,6,1,5,8,0,15,1,4,17,2,0,56,5,5,0,63,0,1
대구,수성구,893,0,1,5,0,90,8,0,0,16,24,0,11,31,0,12,14,27,4,13,32,0,44,10,28,40,2,2,197,19,46,4,209,3,1
대구,중구,491,0,0,7,0,34,1,1,0,18,15,0,58,6,0,8,7,21,4,14,16,0,18,7,11,11,2,1,106,9,46,2,66,1,1
대전,대덕구,208,0,0,7,0,18,3,0,1,3,4,0,0,5,0,0,3,5,1,1,10,0,23,2,6,9,1,0,53,3,2,0,48,0,0
대전,동구,335,0,0,14,0,28,15,0,0,10,5,0,2,3,0,3,5,10,2,2,11,0,27,3,9,12,1,0,70,12,5,2,84,0,0
대전,서구,924,0,0,13,0,72,6,1,0,15,33,0,32,27,0,10,7,18,6,10,24,0,50,15,36,39,2,0,229,12,70,12,179,4,2
대전,유성구,492,0,0,9,0,39,9,0,0,7,13,0,2,23,0,3,1,12,1,9,20,0,28,9,13,23,0,0,120,7,24,2,117,1,0
대전,중구,353,0,0,5,0,35,12,2,0,6,2,0,3,6,0,6,1,9,1,4,12,0,28,8,14,17,1,0,84,6,11,2,77,0,1
부산,강서구,118,0,0,2,0,11,0,0,0,1,1,0,1,9,0,0,1,3,0,0,6,0,13,0,2,3,1,0,34,1,6,1,21,1,0
부산,금정구,350,0,0,5,0,31,16,0,0,5,9,0,0,7,0,0,4,8,0,6,16,0,20,1,8,17,0,0,92,7,15,2,81,0,0
부산,기장군,176,0,0,3,0,19,2,0,0,3,5,0,1,5,0,0,1,6,0,3,7,0,13,0,2,7,1,0,47,5,7,2,37,0,0
부산,남구,389,0,0,4,0,37,4,0,0,5,9,0,3,10,0,1,3,8,0,3,18,0,27,5,13,19,1,0,102,8,17,2,89,1,0
부산,동구,153,0,0,3,0,14,6,0,0,7,1,0,0,2,0,1,1,4,0,1,7,0,12,1,5,6,2,0,35,11,1,2,31,0,0
부산,동래구,505,0,0,7,0,41,11,0,0,8,11,1,3,17,0,2,5,19,2,4,16,0,21,4,12,24,3,0,144,13,20,3,112,2,0
부산,부산진구,841,0,0,7,0,61,13,1,0,24,14,1,86,15,0,3,8,35,3,12,24,1,55,2,24,24,2,0,177,16,69,5,153,2,4
부산,북구,369,0,0,3,0,37,12,0,0,5,9,0,2,15,0,1,3,8,0,3,13,0,19,2,10,16,2,0,96,11,20,1,79,1,1
부산,사상구,225,0,0,7,0,22,11,0,0,4,5,0,0,7,0,1,3,6,0,2,12,0,18,4,7,9,2,0,56,4,3,1,39,1,1
부산,사하구,411,0,0,3,0,40,20,0,0,7,9,0,6,13,0,2,3,11,2,6,19,0,24,2,10,25,0,0,101,12,13,4,77,1,1
부산,서구,122,0,0,0,0,12,4,2,0,3,1,0,0,2,0,0,1,3,0,0,2,0,17,1,2,5,2,0,34,0,1,2,28,0,0
부산,수영구,304,0,0,4,0,27,9,0,0,5,5,0,2,5,0,1,5,7,1,2,9,0,21,1,13,16,3,1,79,5,8,1,74,0,0
부산,연제구,388,0,0,4,0,38,12,0,0,6,7,0,4,14,0,2,2,9,0,7,13,0,23,4,19,17,2,0,97,7,14,1,83,1,2
부산,영도구,129,0,0,0,0,13,5,0,0,0,4,0,0,4,0,1,1,4,0,0,6,0,19,2,3,6,3,0,25,3,4,0,25,1,0
부산,중구,135,0,0,2,0,13,5,0,0,5,1,0,3,1,0,2,0,3,0,3,5,0,5,1,2,5,1,0,37,5,8,1,25,2,0
부산,해운대구,685,0,0,7,0,55,12,1,0,10,19,0,27,22,0,4,5,23,1,12,25,0,40,6,19,30,1,0,163,13,62,1,126,1,0
서울,강남구,3193,3,0,41,0,115,8,2,0,47,91,2,589,39,0,15,11,76,12,27,81,1,204,25,132,91,3,4,548,19,581,9,406,2,9
서울,강동구,978,1,0,17,0,92,6,1,0,19,32,0,11,30,0,9,7,24,2,10,46,1,33,17,29,62,2,0,252,16,52,9,198,0,0
